time,action,solar,demand,grid_import,grid_export,battery_level,cost,emissions,unmet_demand,reward,TimeLimit.truncated
2024-01-04 09:00:00,2,4.126,1.248,0.0,4.678,3.0,0.0,0.0,0.0,0.19348208,False
2024-01-04 10:00:00,1,5.409,1.644,0.0,1.7649999999999997,4.8,0.0,0.0,0.0,0.07342399999999998,False
2024-01-04 11:00:00,2,6.457,1.964,0.0,6.293,2.8,0.0,0.0,0.0,0.2731162,False
2024-01-04 12:00:00,1,7.968,2.415,0.0,3.553,4.6,0.0,0.0,0.0,0.15945863999999998,False
2024-01-04 13:00:00,0,8.561,2.887,0.0,5.6739999999999995,4.6,0.0,0.0,0.0,0.26713191999999997,False
2024-01-04 14:00:00,0,9.802,3.236,0.0,6.565999999999999,4.6,0.0,0.0,0.0,0.31831968,False
2024-01-04 15:00:00,2,10.626,3.621,0.0,8.805,2.5999999999999996,0.0,0.0,0.0,0.4553946,False
2024-01-04 16:00:00,0,10.363,3.833,0.0,6.529999999999999,2.5999999999999996,0.0,0.0,0.0,0.33616440000000003,False
2024-01-04 17:00:00,0,11.335,3.839,0.0,7.496,2.5999999999999996,0.0,0.0,0.0,0.4017856,False
2024-01-04 18:00:00,2,11.338,4.092,0.0,9.046,0.5999999999999996,0.0,0.0,0.0,-0.3296080000000007,False
2024-01-04 19:00:00,1,11.088,3.967,0.0,5.120999999999999,2.3999999999999995,0.0,0.0,0.0,0.27346139999999997,False
2024-01-04 20:00:00,1,10.123,3.743,0.0,4.379999999999999,4.199999999999999,0.0,0.0,0.0,0.22723439999999995,False
2024-01-04 21:00:00,1,10.119,3.466,0.0,4.653,5.999999999999999,0.0,0.0,0.0,0.23786135999999997,False
2024-01-04 22:00:00,3,9.647,3.267,0,6.380000000000001,5.999999999999999,0.0,0.0,0.0,0.31644800000000006,False
2024-01-04 23:00:00,3,8.549,2.828,0,5.721,5.999999999999999,0.0,0.0,0.0,0.26980236,False
2024-01-05 00:00:00,1,0.0,2.421,4.420999999999999,0.0,7.799999999999999,0.5066466,1137.21383,0.0,-227.94941260000002,False
2024-01-05 01:00:00,0,0.0,2.01,2.01,0.0,7.799999999999999,0.22290899999999997,530.7606,0.0,-106.375029,False
2024-01-05 02:00:00,2,0.0,1.644,0.0,0.15600000000000014,5.799999999999999,0.0,0.0,0.0,0.006651840000000006,False
2024-01-05 03:00:00,3,0.0,1.246,1.246,0.0,5.799999999999999,0.12883640000000002,339.51008,0.0,-68.0308524,False
2024-01-05 04:00:00,3,0.0,0.988,0.988,0.0,5.799999999999999,0.0971204,253.82708000000002,0.0,-50.86253640000001,False
2024-01-05 05:00:00,1,0.0,0.871,2.871,0.0,7.599999999999999,0.2848032,761.90598,0.0,-152.66599920000002,False
2024-01-05 06:00:00,2,0.0,0.792,0.0,1.008,5.599999999999999,0.0,0.0,0.0,0.03915072,False
2024-01-05 07:00:00,3,1.385,0.848,0,0.537,5.599999999999999,0.0,0.0,0.0,0.021136320000000004,False
2024-01-05 08:00:00,1,2.779,1.034,0.2550000000000001,0.0,7.399999999999999,0.02555100000000001,62.870250000000034,0.0,-12.599601000000007,False
2024-01-05 09:00:00,1,4.109,1.245,0.0,0.8639999999999999,9.2,0.0,0.0,0.0,-0.3641612799999986,False
2024-01-05 10:00:00,2,5.405,1.639,0.0,5.566,7.199999999999999,0.0,0.0,0.0,0.23288144,False
2024-01-05 11:00:00,2,6.541,1.985,0.0,6.356,5.199999999999999,0.0,0.0,0.0,0.27788432,False
2024-01-05 12:00:00,2,7.473,2.338,0.0,6.935,3.1999999999999993,0.0,0.0,0.0,0.3201196,False
2024-01-05 13:00:00,1,8.575,2.885,0.0,3.6899999999999995,4.999999999999999,0.0,0.0,0.0,0.1762344,False
2024-01-05 14:00:00,1,9.346,3.214,0.0,4.132,6.799999999999999,0.0,0.0,0.0,0.20560831999999998,False
2024-01-05 15:00:00,1,10.233,3.442,0.0,4.791,8.6,0.0,0.0,0.0,0.24184968000000004,False
2024-01-05 16:00:00,1,10.308,3.863,0.0,5.045,9.86,0.0,0.0,0.0,-1.453623999999999,False
2024-01-05 17:00:00,1,10.438,4.011,0.0,6.287,9.986,0.0,0.0,0.0,-1.6480937600000014,False
2024-01-05 18:00:00,1,10.673,4.058,0.0,6.601000000000001,9.9986,0.0,0.0,0.0,-1.6454987199999993,False
2024-01-05 19:00:00,1,10.952,3.983,0.0,6.967599999999999,9.99986,0.0,0.0,0.0,-1.6354538719999998,False
2024-01-05 20:00:00,3,10.507,3.898,0,6.609,9.99986,0.0,0.0,0.0,-1.66345408,False
